Target,Predictor,Importance,Importance_Type,Importance_Rank
delta_DA_NoCDF_minus_OPL_RZSM,SMC_L3_OPL,0.11154345479709427,Impurity,2.0
delta_DA_NoCDF_minus_OPL_RZSM,SMC_L4_OPL,0.08265413512020665,Impurity,5.0
delta_DA_NoCDF_minus_OPL_RZSM,month,0.030978091717863646,Impurity,13.0
delta_DA_NoCDF_minus_OPL_RZSM,season,0.0236384125958988,Impurity,14.0
delta_DA_NoCDF_minus_OPL_RZSM,elevation,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_RZSM,soil_texture,0.04707978666235135,Impurity,12.0
delta_DA_NoCDF_minus_OPL_RZSM,land_cover,0.07568051995271918,Impurity,6.0
delta_DA_NoCDF_minus_OPL_RZSM,irrigation_fraction,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_RZSM,soil_texture_dominant_fraction,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_RZSM,land_cover_dominant_fraction,0.0,Impurity,15.0
delta_DA_CDF_minus_OPL_RZSM,precipitation_model,0.07673194951134232,Impurity,9.0
delta_DA_CDF_minus_OPL_RZSM,SSM_OPL,0.08026291122167846,Impurity,7.0
delta_DA_CDF_minus_OPL_RZSM,RZSM_OPL,0.09274168918184791,Impurity,2.0
delta_DA_CDF_minus_OPL_RZSM,Evap_tavg_OPL,0.08971794453414444,Impurity,3.0
delta_DA_CDF_minus_OPL_RZSM,Qs_tavg_OPL,0.07390414712698157,Impurity,10.0
delta_DA_CDF_minus_OPL_RZSM,Qsb_tavg_OPL,0.08358912131251688,Impurity,6.0
delta_DA_CDF_minus_OPL_RZSM,SMC_L1_OPL,0.08008606991328703,Impurity,8.0
delta_DA_CDF_minus_OPL_RZSM,SMC_L2_OPL,0.09690622312618048,Impurity,1.0
delta_DA_CDF_minus_OPL_RZSM,SMC_L3_OPL,0.08832926603916177,Impurity,4.0
delta_DA_CDF_minus_OPL_RZSM,SMC_L4_OPL,0.08788092958321617,Impurity,5.0
delta_DA_CDF_minus_OPL_RZSM,month,0.03888110543488715,Impurity,12.0
delta_DA_CDF_minus_OPL_RZSM,season,0.02511777846215666,Impurity,14.0
delta_DA_CDF_minus_OPL_RZSM,elevation,0.0,Impurity,15.0
delta_DA_CDF_minus_OPL_RZSM,soil_texture,0.027764427978460172,Impurity,13.0
delta_DA_CDF_minus_OPL_RZSM,land_cover,0.05808643657413913,Impurity,11.0
delta_DA_CDF_minus_OPL_RZSM,irrigation_fraction,0.0,Impurity,15.0
delta_DA_CDF_minus_OPL_RZSM,soil_texture_dominant_fraction,0.0,Impurity,15.0
delta_DA_CDF_minus_OPL_RZSM,land_cover_dominant_fraction,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_ET,precipitation_model,0.050846709729785264,Impurity,12.0
delta_DA_NoCDF_minus_OPL_ET,SSM_OPL,0.0953311099998537,Impurity,2.0
delta_DA_NoCDF_minus_OPL_ET,RZSM_OPL,0.07128935091100125,Impurity,4.0
delta_DA_NoCDF_minus_OPL_ET,Evap_tavg_OPL,0.16951667400242212,Impurity,1.0
delta_DA_NoCDF_minus_OPL_ET,Qs_tavg_OPL,0.05275848231877807,Impurity,11.0
delta_DA_NoCDF_minus_OPL_ET,Qsb_tavg_OPL,0.06941780941573986,Impurity,5.0
delta_DA_NoCDF_minus_OPL_ET,SMC_L1_OPL,0.08708640969506262,Impurity,3.0
delta_DA_NoCDF_minus_OPL_ET,SMC_L2_OPL,0.04671047660898885,Impurity,14.0
delta_DA_NoCDF_minus_OPL_ET,SMC_L3_OPL,0.06381428638362593,Impurity,7.0
delta_DA_NoCDF_minus_OPL_ET,SMC_L4_OPL,0.06892358548216758,Impurity,6.0
delta_DA_NoCDF_minus_OPL_ET,month,0.04923780282437851,Impurity,13.0
delta_DA_NoCDF_minus_OPL_ET,season,0.057736172637660434,Impurity,9.0
delta_DA_NoCDF_minus_OPL_ET,elevation,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_ET,soil_texture,0.06122410530942116,Impurity,8.0
delta_DA_NoCDF_minus_OPL_ET,land_cover,0.05610702468111461,Impurity,10.0
delta_DA_NoCDF_minus_OPL_ET,irrigation_fraction,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_ET,soil_texture_dominant_fraction,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_ET,land_cover_dominant_fraction,0.0,Impurity,15.0
delta_DA_CDF_minus_OPL_ET,precipitation_model,0.07385660779233151,Impurity,6.0
delta_DA_CDF_minus_OPL_ET,SSM_OPL,0.07431230599353927,Impurity,5.0
delta_DA_CDF_minus_OPL_ET,RZSM_OPL,0.05622651825272696,Impurity,11.0
delta_DA_CDF_minus_OPL_ET,Evap_tavg_OPL,0.142279766844629,Impurity,1.0
delta_DA_CDF_minus_OPL_ET,Qs_tavg_OPL,0.06356132432944761,Impurity,8.0
delta_DA_CDF_minus_OPL_ET,Qsb_tavg_OPL,0.06697484102648703,Impurity,7.0
delta_DA_CDF_minus_OPL_ET,SMC_L1_OPL,0.07859463459840406,Impurity,4.0
delta_DA_CDF_minus_OPL_ET,SMC_L2_OPL,0.05747667268265849,Impurity,9.0
delta_DA_CDF_minus_OPL_ET,SMC_L3_OPL,0.05716554170063469,Impurity,10.0
delta_DA_CDF_minus_OPL_ET,SMC_L4_OPL,0.11642292633862522,Impurity,2.0
delta_DA_CDF_minus_OPL_ET,month,0.03859386071349667,Impurity,13.0
delta_DA_CDF_minus_OPL_ET,season,0.03193328976821736,Impurity,14.0
delta_DA_CDF_minus_OPL_ET,elevation,0.0,Impurity,15.0
delta_DA_CDF_minus_OPL_ET,soil_texture,0.09785496548948001,Impurity,3.0
delta_DA_CDF_minus_OPL_ET,land_cover,0.044746744469321954,Impurity,12.0
delta_DA_CDF_minus_OPL_ET,irrigation_fraction,0.0,Impurity,15.0
delta_DA_CDF_minus_OPL_ET,soil_texture_dominant_fraction,0.0,Impurity,15.0
delta_DA_CDF_minus_OPL_ET,land_cover_dominant_fraction,0.0,Impurity,15.0
delta_DA_NoCDF_minus_OPL_runoff,precipitation_model,0.18664371233769134,Impurity,1.0
delta_DA_NoCDF_minus_OPL_runoff,SSM_OPL,0.06035486894749713,Impurity,10.0
delta_DA_NoCDF_minus_OPL_runoff,RZSM_OPL,0.06468725736387229,Impurity,9.0
delta_DA_NoCDF_minus_OPL_runoff,Evap_tavg_OPL,0.07833483313954595,Impurity,5.0
delta_DA_NoCDF_minus_OPL_runoff,Qs_tavg_OPL,0.080863248782328,Impurity,4.0
delta_DA_NoCDF_minus_OPL_runoff,Qsb_tavg_OPL,0.08737679759856355,Impurity,3.0
delta_DA_NoCDF_minus_OPL_runoff,SMC_L1_OPL,0.07384769474714854,Impurity,6.0
delta_DA_NoCDF_minus_OPL_runoff,SMC_L2_OPL,0.06505470269804835,Impurity,8.0
