group,n_ref,ref_mean,ref_std
"(30.0, -8.549988, 2)",5,0.23281983,0.012205554
"(30.0, -8.549988, 3)",5,0.23091134,0.00878348
"(30.0, -8.549988, 4)",5,0.22484794,0.0064308657
"(30.0, -8.549988, 5)",5,0.22207995,0.0047680996
"(30.0, -8.549988, 6)",5,0.21952167,0.0057993224
"(30.0, -8.549988, 7)",5,0.21853085,0.0053160754
"(30.0, -8.549988, 8)",5,0.21980539,0.004905644
"(30.0, -8.549988, 9)",5,0.22314128,0.0036226239
"(30.0, -8.549988, 10)",5,0.2272656,0.009928059
"(30.0, -8.549988, 11)",5,0.2359449,0.015141173
"(30.0, -8.549988, 12)",5,0.23766704,0.011686939
"(30.0, -8.5, 1)",5,0.23017183,0.005751936
"(30.0, -8.5, 2)",5,0.23176149,0.011469102
"(30.0, -8.5, 3)",5,0.23021193,0.00865167
"(30.0, -8.5, 4)",5,0.22451022,0.0065639573
"(30.0, -8.5, 5)",5,0.22173694,0.00502783
"(30.0, -8.5, 6)",5,0.21922469,0.005763605
"(30.0, -8.5, 7)",5,0.2184166,0.0052940114
"(30.0, -8.5, 8)",5,0.21968937,0.0048576924
"(30.0, -8.5, 9)",5,0.22306947,0.0033026196
"(30.0, -8.5, 10)",5,0.22707024,0.009598895
"(30.0, -8.5, 11)",5,0.23535559,0.0148307355
"(30.0, -8.5, 12)",5,0.23696133,0.011454502
"(30.0, -8.450012, 1)",5,0.22984652,0.0057687233
"(30.0, -8.450012, 2)",5,0.23077774,0.0112013295
"(30.0, -8.450012, 3)",5,0.22926204,0.008814705
"(30.0, -8.450012, 4)",5,0.22395392,0.006808056
"(30.0, -8.450012, 5)",5,0.22120528,0.005365487
"(30.0, -8.450012, 6)",5,0.21866882,0.0059055784
"(30.0, -8.450012, 7)",5,0.21797583,0.005424595
"(30.0, -8.450012, 8)",5,0.21921603,0.00493251
"(30.0, -8.450012, 9)",5,0.22275767,0.0031847334
"(30.0, -8.450012, 10)",5,0.22673512,0.009393378
"(30.0, -8.450012, 11)",5,0.2348439,0.0145846335
"(30.0, -8.450012, 12)",5,0.2364476,0.011488488
"(30.0, -8.400024, 1)",5,0.22925451,0.005730674
"(30.0, -8.400024, 2)",5,0.22961707,0.0108227525
"(30.0, -8.400024, 3)",5,0.22810063,0.008848278
"(30.0, -8.400024, 4)",5,0.22320895,0.0069425674
"(30.0, -8.400024, 5)",5,0.22051623,0.0056075915
"(30.0, -8.400024, 6)",5,0.21802564,0.005963282
"(30.0, -8.400024, 7)",5,0.21744075,0.00543793
"(30.0, -8.400024, 8)",5,0.21859232,0.004904345
"(30.0, -8.400024, 9)",5,0.22227784,0.0030325772
"(30.0, -8.400024, 10)",5,0.22623718,0.00907121
"(30.0, -8.400024, 11)",5,0.23415144,0.014162537
"(30.0, -8.400024, 12)",5,0.23567875,0.01136542
"(30.0, -8.349976, 1)",5,0.22815716,0.005341453
"(30.0, -8.349976, 2)",5,0.22827992,0.009985833
"(30.0, -8.349976, 3)",5,0.22696309,0.008429811
"(30.0, -8.349976, 4)",5,0.22245502,0.006669175
"(30.0, -8.349976, 5)",5,0.21981904,0.005496059
"(30.0, -8.349976, 6)",5,0.21755235,0.0056918333
"(30.0, -8.349976, 7)",5,0.21706621,0.0051174974
"(30.0, -8.349976, 8)",5,0.21806416,0.0045973216
"(30.0, -8.349976, 9)",5,0.22174232,0.0027231046
"(30.0, -8.349976, 10)",5,0.22565317,0.0086837
"(30.0, -8.349976, 11)",5,0.23310211,0.013487099
"(30.0, -8.349976, 12)",5,0.23443154,0.010981018
"(30.0, -8.299988, 1)",5,0.22718611,0.004924286
"(30.0, -8.299988, 2)",5,0.22726083,0.0091320975
"(30.0, -8.299988, 3)",5,0.2261748,0.0078046317
"(30.0, -8.299988, 4)",5,0.22204182,0.0059552696
"(30.0, -8.299988, 5)",5,0.21945897,0.004833649
"(30.0, -8.299988, 6)",5,0.2174031,0.0050970237
"(30.0, -8.299988, 7)",5,0.21694493,0.0045515657
"(30.0, -8.299988, 8)",5,0.21782169,0.004102858
"(30.0, -8.299988, 9)",5,0.22143821,0.0025251925
"(30.0, -8.299988, 10)",5,0.22535047,0.0087046465
"(30.0, -8.299988, 11)",5,0.23216072,0.012908765
"(30.0, -8.299988, 12)",5,0.23327354,0.010512418
"(30.0, -8.25, 1)",5,0.22656591,0.0046365196
"(30.0, -8.25, 2)",5,0.22664908,0.00850615
"(30.0, -8.25, 3)",5,0.22564784,0.007381571
"(30.0, -8.25, 4)",5,0.2217397,0.0054579275
"(30.0, -8.25, 5)",5,0.2192314,0.004339948
"(30.0, -8.25, 6)",5,0.21728833,0.0046823476
"(30.0, -8.25, 7)",5,0.21680704,0.0041864733
