land_cover,year,month,pct_area,experiment,dry_category
10,2020,2,85.15464,OPL,D0
10,2020,3,96.86411,OPL,D0
10,2020,4,62.19512,OPL,D0
10,2020,5,60.45296,OPL,D0
10,2020,6,29.616726,OPL,D0
10,2020,7,24.56446,OPL,D0
10,2020,8,24.216028,OPL,D0
10,2020,9,43.55401,OPL,D0
10,2020,10,42.16028,OPL,D0
10,2020,11,31.358887,OPL,D0
10,2020,12,38.850174,OPL,D0
12,2016,1,100.0,OPL,D0
12,2016,2,100.0,OPL,D0
12,2016,3,44.897957,OPL,D0
12,2016,4,34.516415,OPL,D0
12,2016,5,4.0816326,OPL,D0
12,2016,6,1.3309672,OPL,D0
12,2016,7,3.0168588,OPL,D0
12,2016,8,22.271517,OPL,D0
12,2016,9,38.77551,OPL,D0
12,2016,10,19.698315,OPL,D0
12,2016,11,0.3549246,OPL,D0
12,2016,12,0.0,OPL,D0
12,2017,1,0.0,OPL,D0
12,2017,2,0.0,OPL,D0
12,2017,3,0.0,OPL,D0
12,2017,4,37.79947,OPL,D0
12,2017,5,79.325645,OPL,D0
12,2017,6,96.80568,OPL,D0
12,2017,7,92.90151,OPL,D0
12,2017,8,53.41615,OPL,D0
12,2017,9,43.921917,OPL,D0
12,2017,10,81.54392,OPL,D0
12,2017,11,99.7338,OPL,D0
12,2017,12,71.5173,OPL,D0
12,2018,1,17.213842,OPL,D0
12,2018,2,0.5323869,OPL,D0
12,2018,3,0.0,OPL,D0
12,2018,4,0.0,OPL,D0
12,2018,5,0.26619345,OPL,D0
12,2018,6,2.2182786,OPL,D0
12,2018,7,7.1872225,OPL,D0
12,2018,8,56.166817,OPL,D0
12,2018,9,36.024845,OPL,D0
12,2018,10,3.1943214,OPL,D0
12,2018,11,0.0,OPL,D0
12,2018,12,0.1774623,OPL,D0
12,2019,1,0.08873115,OPL,D0
12,2019,2,2.7506654,OPL,D0
12,2019,3,60.248447,OPL,D0
12,2019,4,62.377995,OPL,D0
12,2019,5,84.294586,OPL,D0
12,2019,6,86.24667,OPL,D0
12,2019,7,63.087845,OPL,D0
12,2019,8,41.437443,OPL,D0
12,2019,9,45.607807,OPL,D0
12,2019,10,66.19343,OPL,D0
12,2019,11,43.833183,OPL,D0
12,2019,12,38.06566,OPL,D0
12,2020,1,82.697426,OPL,D0
12,2020,2,96.97509,OPL,D0
12,2020,3,94.85359,OPL,D0
12,2020,4,65.30612,OPL,D0
12,2020,5,32.031944,OPL,D0
12,2020,6,13.398403,OPL,D0
12,2020,7,33.806564,OPL,D0
12,2020,8,26.708075,OPL,D0
12,2020,9,35.669918,OPL,D0
12,2020,10,29.37001,OPL,D0
12,2020,11,56.078083,OPL,D0
12,2020,12,90.23957,OPL,D0
13,2016,1,96.0,OPL,D0
13,2016,2,88.42105,OPL,D0
13,2016,3,64.10257,OPL,D0
13,2016,4,74.35898,OPL,D0
13,2016,5,51.282055,OPL,D0
13,2016,6,59.829063,OPL,D0
13,2016,7,63.247864,OPL,D0
13,2016,8,67.52137,OPL,D0
13,2016,9,55.555557,OPL,D0
13,2016,10,58.11966,OPL,D0
13,2016,11,18.80342,OPL,D0
13,2016,12,6.8376074,OPL,D0
13,2017,1,8.5470085,OPL,D0
13,2017,2,5.982906,OPL,D0
13,2017,3,5.982906,OPL,D0
13,2017,4,23.076923,OPL,D0
13,2017,5,31.623932,OPL,D0
13,2017,6,22.222223,OPL,D0
13,2017,7,18.80342,OPL,D0
13,2017,8,19.65812,OPL,D0
13,2017,9,30.769232,OPL,D0
13,2017,10,35.897438,OPL,D0
13,2017,11,83.76068,OPL,D0
13,2017,12,68.37607,OPL,D0
13,2018,1,17.094017,OPL,D0
13,2018,2,5.982906,OPL,D0
13,2018,3,11.111112,OPL,D0
13,2018,4,11.111112,OPL,D0
13,2018,5,8.5470085,OPL,D0
13,2018,6,8.5470085,OPL,D0
13,2018,7,9.40171,OPL,D0
13,2018,8,8.5470085,OPL,D0
13,2018,9,6.8376074,OPL,D0
13,2018,10,0.0,OPL,D0
13,2018,11,0.0,OPL,D0
13,2018,12,0.0,OPL,D0
13,2019,1,2.5641026,OPL,D0
13,2019,2,26.495728,OPL,D0
13,2019,3,32.478634,OPL,D0
13,2019,4,22.222223,OPL,D0
13,2019,5,41.025642,OPL,D0
13,2019,6,44.444447,OPL,D0
13,2019,7,40.17094,OPL,D0
13,2019,8,36.752136,OPL,D0
13,2019,9,36.752136,OPL,D0
13,2019,10,30.769232,OPL,D0
13,2019,11,24.786325,OPL,D0
13,2019,12,36.752136,OPL,D0
13,2020,1,74.35898,OPL,D0
13,2020,2,87.36842,OPL,D0
13,2020,3,86.32478,OPL,D0
13,2020,4,69.230774,OPL,D0
13,2020,5,67.52137,OPL,D0
13,2020,6,64.95727,OPL,D0
13,2020,7,68.37607,OPL,D0
13,2020,8,67.52137,OPL,D0
13,2020,9,70.08547,OPL,D0
13,2020,10,75.21368,OPL,D0
13,2020,11,72.649574,OPL,D0
13,2020,12,88.03419,OPL,D0
14,2016,1,,OPL,D0
14,2016,2,100.0,OPL,D0
14,2016,3,100.0,OPL,D0
14,2016,4,0.0,OPL,D0
14,2016,5,0.0,OPL,D0
14,2016,6,0.0,OPL,D0
14,2016,7,0.0,OPL,D0
14,2016,8,0.0,OPL,D0
14,2016,9,0.0,OPL,D0
14,2016,10,0.0,OPL,D0
14,2016,11,0.0,OPL,D0
14,2016,12,0.0,OPL,D0
14,2017,1,0.0,OPL,D0
14,2017,2,0.0,OPL,D0
14,2017,3,0.0,OPL,D0
14,2017,4,0.0,OPL,D0
14,2017,5,0.0,OPL,D0
14,2017,6,0.0,OPL,D0
14,2017,7,0.0,OPL,D0
14,2017,8,0.0,OPL,D0
14,2017,9,0.0,OPL,D0
14,2017,10,100.0,OPL,D0
14,2017,11,100.0,OPL,D0
14,2017,12,100.0,OPL,D0
14,2018,1,0.0,OPL,D0
14,2018,2,0.0,OPL,D0
14,2018,3,0.0,OPL,D0
14,2018,4,0.0,OPL,D0
14,2018,5,0.0,OPL,D0
14,2018,6,0.0,OPL,D0
14,2018,7,0.0,OPL,D0
14,2018,8,0.0,OPL,D0
14,2018,9,0.0,OPL,D0
14,2018,10,0.0,OPL,D0
14,2018,11,0.0,OPL,D0
14,2018,12,0.0,OPL,D0
14,2019,1,0.0,OPL,D0
14,2019,2,0.0,OPL,D0
14,2019,3,0.0,OPL,D0
14,2019,4,100.0,OPL,D0
