year,month,pct_area,experiment,dry_category,robustness
2020,3,80.57392,DA_NoCDF,D0,main
2020,4,75.402374,DA_NoCDF,D0,main
2020,5,72.2645,DA_NoCDF,D0,main
2020,6,65.3088,DA_NoCDF,D0,main
2020,7,59.775425,DA_NoCDF,D0,main
2020,8,56.76232,DA_NoCDF,D0,main
2020,9,58.427948,DA_NoCDF,D0,main
2020,10,60.349346,DA_NoCDF,D0,main
2020,11,63.49345,DA_NoCDF,D0,main
2020,12,68.32813,DA_NoCDF,D0,main
2016,1,71.53518,DA_NoCDF,D1,main
2016,2,60.090702,DA_NoCDF,D1,main
2016,3,42.782284,DA_NoCDF,D1,main
2016,4,55.140366,DA_NoCDF,D1,main
2016,5,45.83905,DA_NoCDF,D1,main
2016,6,39.92514,DA_NoCDF,D1,main
2016,7,30.087337,DA_NoCDF,D1,main
2016,8,27.248907,DA_NoCDF,D1,main
2016,9,32.033688,DA_NoCDF,D1,main
2016,10,31.634436,DA_NoCDF,D1,main
2016,11,32.825954,DA_NoCDF,D1,main
2016,12,24.934498,DA_NoCDF,D1,main
2017,1,33.992516,DA_NoCDF,D1,main
2017,2,33.905178,DA_NoCDF,D1,main
2017,3,43.45602,DA_NoCDF,D1,main
2017,4,63.961323,DA_NoCDF,D1,main
2017,5,64.34186,DA_NoCDF,D1,main
2017,6,54.716156,DA_NoCDF,D1,main
2017,7,50.929504,DA_NoCDF,D1,main
2017,8,44.435432,DA_NoCDF,D1,main
2017,9,51.47224,DA_NoCDF,D1,main
2017,10,47.629444,DA_NoCDF,D1,main
2017,11,62.270744,DA_NoCDF,D1,main
2017,12,50.61135,DA_NoCDF,D1,main
2018,1,41.7592,DA_NoCDF,D1,main
2018,2,38.583904,DA_NoCDF,D1,main
2018,3,44.366814,DA_NoCDF,D1,main
2018,4,56.18216,DA_NoCDF,D1,main
2018,5,50.985653,DA_NoCDF,D1,main
2018,6,52.83219,DA_NoCDF,D1,main
2018,7,52.38927,DA_NoCDF,D1,main
2018,8,46.444164,DA_NoCDF,D1,main
2018,9,48.37804,DA_NoCDF,D1,main
2018,10,47.542107,DA_NoCDF,D1,main
2018,11,43.044292,DA_NoCDF,D1,main
2018,12,52.451653,DA_NoCDF,D1,main
2019,1,55.570805,DA_NoCDF,D1,main
2019,2,58.90206,DA_NoCDF,D1,main
2019,3,67.90393,DA_NoCDF,D1,main
2019,4,68.21585,DA_NoCDF,D1,main
2019,5,79.638176,DA_NoCDF,D1,main
2019,6,74.185905,DA_NoCDF,D1,main
2019,7,66.59389,DA_NoCDF,D1,main
2019,8,62.183403,DA_NoCDF,D1,main
2019,9,58.89582,DA_NoCDF,D1,main
2019,10,60.661263,DA_NoCDF,D1,main
2019,11,56.4005,DA_NoCDF,D1,main
2019,12,63.23768,DA_NoCDF,D1,main
2020,1,63.505924,DA_NoCDF,D1,main
2020,2,62.312923,DA_NoCDF,D1,main
2020,3,74.946976,DA_NoCDF,D1,main
2020,4,70.630066,DA_NoCDF,D1,main
2020,5,68.67748,DA_NoCDF,D1,main
2020,6,62.23331,DA_NoCDF,D1,main
2020,7,57.074238,DA_NoCDF,D1,main
2020,8,54.37929,DA_NoCDF,D1,main
2020,9,55.58328,DA_NoCDF,D1,main
2020,10,56.743603,DA_NoCDF,D1,main
2020,11,55.626945,DA_NoCDF,D1,main
2020,12,61.522144,DA_NoCDF,D1,main
2016,1,60.554375,DA_NoCDF,D2,cautious_supplementary
2016,2,50.128494,DA_NoCDF,D2,cautious_supplementary
2016,3,36.94947,DA_NoCDF,D2,cautious_supplementary
2016,4,48.73986,DA_NoCDF,D2,cautious_supplementary
2016,5,42.227074,DA_NoCDF,D2,cautious_supplementary
2016,6,36.444168,DA_NoCDF,D2,cautious_supplementary
2016,7,26.855894,DA_NoCDF,D2,cautious_supplementary
2016,8,23.67436,DA_NoCDF,D2,cautious_supplementary
2016,9,26.65627,DA_NoCDF,D2,cautious_supplementary
2016,10,27.779165,DA_NoCDF,D2,cautious_supplementary
2016,11,28.378042,DA_NoCDF,D2,cautious_supplementary
2016,12,21.147846,DA_NoCDF,D2,cautious_supplementary
2017,1,30.417967,DA_NoCDF,D2,cautious_supplementary
2017,2,29.918903,DA_NoCDF,D2,cautious_supplementary
2017,3,39.145355,DA_NoCDF,D2,cautious_supplementary
2017,4,57.24891,DA_NoCDF,D2,cautious_supplementary
2017,5,58.328133,DA_NoCDF,D2,cautious_supplementary
2017,6,48.122272,DA_NoCDF,D2,cautious_supplementary
2017,7,42.82595,DA_NoCDF,D2,cautious_supplementary
2017,8,37.816593,DA_NoCDF,D2,cautious_supplementary
2017,9,44.647537,DA_NoCDF,D2,cautious_supplementary
2017,10,41.2539,DA_NoCDF,D2,cautious_supplementary
2017,11,49.943855,DA_NoCDF,D2,cautious_supplementary
2017,12,42.75109,DA_NoCDF,D2,cautious_supplementary
2018,1,36.955708,DA_NoCDF,D2,cautious_supplementary
2018,2,34.728634,DA_NoCDF,D2,cautious_supplementary
2018,3,40.679977,DA_NoCDF,D2,cautious_supplementary
2018,4,51.453526,DA_NoCDF,D2,cautious_supplementary
2018,5,47.011852,DA_NoCDF,D2,cautious_supplementary
2018,6,48.78977,DA_NoCDF,D2,cautious_supplementary
2018,7,48.577667,DA_NoCDF,D2,cautious_supplementary
2018,8,42.607613,DA_NoCDF,D2,cautious_supplementary
2018,9,44.366814,DA_NoCDF,D2,cautious_supplementary
2018,10,45.277603,DA_NoCDF,D2,cautious_supplementary
2018,11,40.736122,DA_NoCDF,D2,cautious_supplementary
2018,12,49.93762,DA_NoCDF,D2,cautious_supplementary
2019,1,53.187775,DA_NoCDF,D2,cautious_supplementary
2019,2,55.75795,DA_NoCDF,D2,cautious_supplementary
2019,3,61.752964,DA_NoCDF,D2,cautious_supplementary
2019,4,61.765438,DA_NoCDF,D2,cautious_supplementary
2019,5,73.76794,DA_NoCDF,D2,cautious_supplementary
2019,6,67.59825,DA_NoCDF,D2,cautious_supplementary
2019,7,61.37243,DA_NoCDF,D2,cautious_supplementary
2019,8,56.986897,DA_NoCDF,D2,cautious_supplementary
2019,9,54.02994,DA_NoCDF,D2,cautious_supplementary
2019,10,56.519024,DA_NoCDF,D2,cautious_supplementary
2019,11,51.397377,DA_NoCDF,D2,cautious_supplementary
2019,12,57.17405,DA_NoCDF,D2,cautious_supplementary
2020,1,57.87898,DA_NoCDF,D2,cautious_supplementary
2020,2,56.439907,DA_NoCDF,D2,cautious_supplementary
2020,3,66.937,DA_NoCDF,D2,cautious_supplementary
2020,4,64.23581,DA_NoCDF,D2,cautious_supplementary
2020,5,64.87835,DA_NoCDF,D2,cautious_supplementary
2020,6,59.282597,DA_NoCDF,D2,cautious_supplementary
2020,7,54.054897,DA_NoCDF,D2,cautious_supplementary
2020,8,51.890205,DA_NoCDF,D2,cautious_supplementary
2020,9,52.60761,DA_NoCDF,D2,cautious_supplementary
2020,10,52.757328,DA_NoCDF,D2,cautious_supplementary
2020,11,49.868996,DA_NoCDF,D2,cautious_supplementary
2020,12,55.458515,DA_NoCDF,D2,cautious_supplementary
2016,1,60.554375,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2016,2,50.128494,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2016,3,36.94947,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2016,4,48.73986,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2016,5,42.227074,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2016,6,36.444168,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2016,7,26.855894,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2016,8,23.67436,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2016,9,26.65627,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2016,10,27.779165,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2016,11,28.378042,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2016,12,21.147846,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2017,1,30.417967,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
2017,2,29.918903,DA_NoCDF,D3,qc_only_not_robust_with_5yr_reference
